date, temperature
25-07-23-18-54-16,18
25-07-23-18-55-01,18
25-07-23-18-55-02,19
25-07-23-18-55-03,20
25-07-23-18-55-04,20
25-07-23-18-55-05,18
25-07-23-18-55-06,18
25-07-23-18-55-07,20
25-07-23-18-55-08,18
25-07-23-19-21-29,20
25-07-23-19-21-30,18
25-07-23-19-21-31,18
25-07-23-19-21-32,18
25-07-23-19-21-34,18
25-07-23-19-21-35,20
25-07-23-19-21-36,18
25-07-23-19-21-37,18
25-07-23-19-21-38,20
25-07-23-19-21-39,18
25-07-23-19-21-40,18
25-07-23-19-21-41,18
25-07-23-19-21-42,19
25-07-23-19-21-43,19
25-07-23-19-21-43,18
25-07-23-19-21-44,18
25-07-23-19-21-45,18
25-07-23-19-21-46,19
25-07-23-19-21-47,18
25-07-23-19-21-48,18
25-07-23-19-21-49,18
25-07-23-19-21-50,18
25-07-23-19-21-51,18
25-07-23-19-21-52,18
25-07-23-19-21-53,18
25-07-23-19-21-54,18
25-07-23-19-21-55,19
25-07-23-19-21-56,18
25-07-23-19-21-57,18
25-07-23-19-21-58,19
25-07-23-19-21-59,18
25-07-23-19-22-00,18
25-07-23-19-22-01,18
25-07-23-19-22-02,20
25-07-23-19-22-03,20
25-07-23-19-22-04,18
25-07-23-19-22-05,18
25-07-23-19-22-07,18
25-07-23-19-22-08,19
25-07-23-19-22-09,20
25-07-23-19-22-10,18
25-07-23-19-22-11,18
25-07-23-19-22-12,19
25-07-23-19-22-13,18
25-07-23-19-22-14,18
25-07-23-19-22-15,18
25-07-23-19-22-16,18
25-07-23-19-22-17,20
25-07-23-19-22-18,19
25-07-23-19-22-19,18
25-07-23-19-22-20,18
25-07-23-19-22-21,18
25-07-23-19-22-22,18
25-07-23-19-22-23,18
25-07-23-19-22-24,18
25-07-23-19-22-25,19
25-07-23-19-22-26,18
25-07-23-19-22-27,20
25-07-23-19-22-28,18
25-07-23-19-22-29,18
25-07-23-19-22-30,18
25-07-23-19-22-31,18
25-07-23-19-22-32,20
25-07-23-19-22-33,18
25-07-23-19-22-34,18
25-07-23-19-22-35,18
25-07-23-19-22-36,18
25-07-23-19-22-37,18
25-07-23-19-22-38,18
